weqn1v1 ; n1,numint,nint,knn,s:       5  5       100 20   0.0000000               1
  11   -0.02982405    0.00892835    0.06504250
  12    0.32848899    0.15573644    0.56119981
  13    0.01110877    0.00200249   -0.18421770
  14    0.01948065    0.00330406   -0.17591046
  15    0.00117657    0.00043102   -0.05988964
weqn1v1 ; n1,numint,nint,knn,s:       5  5       100 20   0.4000000               9
   1    0.95863040    0.00424588   -0.23665338
   2    0.92054016    0.00787282   -0.24321279
   3    2.88000000    0.01218524   -0.24470187
   4    8.30681856    0.06815828   -0.25240422
   5   23.99308296    0.28715386   -0.26040701
   6   69.39223866    1.07951736   -0.26867323
   7    2.76524777    0.02315588   -0.24791014
   8    2.65930392    0.03262789   -0.25370730
   9    0.99829674    0.00035997   -0.11007788
  10    0.24837120    0.04687703   -0.06052334
  11   -0.01668317    0.00465108    0.23512376
  12    0.28055312    0.08306629    0.81464571
  13    0.00439222    0.00084189   -0.07029424
  14    0.00814824    0.00148782   -0.05904916
  15    0.00031195    0.00010102    0.09775878
weqn1v1 ; n1,numint,nint,knn,s:       5  5       100 20   0.4500000              10
   1    0.97733888    0.00282757    0.06101850
   2    0.95612922    0.00539639    0.06344818
   3    2.93312000    0.00818297    0.07870311
   4    8.61110016    0.04693686    0.08012510
   5   25.30273427    0.20219847    0.08126339
   6   74.41117661    0.77530035    0.08212682
   7    2.86936666    0.01590191    0.07225431
   8    2.80962073    0.02294384    0.07116658
   9    0.99901903    0.00018644   -0.04857703
  10    0.20015165    0.03599375   -0.02082079
  11   -0.01186345    0.00268572    0.16083494
  12    0.07403013    0.03450595    0.58315944
  13    0.00271445    0.00049473   -0.03057424
  14    0.00517900    0.00092843   -0.02679690
  15    0.00013814    0.00003295    0.07388212
weqn1v1 ; n1,numint,nint,knn,s:       5  5       100 20   0.5000000              11
   1    0.98640128    0.00246852   -0.30959305
   2    0.97342901    0.00477985   -0.31196218
   3    2.95936000    0.00727252   -0.31194202
   4    8.76163840    0.04229983   -0.31426907
   5   25.95113464    0.18464996   -0.31650963
   6   76.89619502    0.71695926   -0.31866509
   7    2.92041097    0.01421245   -0.31349955
   8    2.88323782    0.02072533   -0.31529801
   9    0.99954643    0.00007709   -0.04691648
  10    0.11958720    0.01878639    0.02073027
  11   -0.00558247    0.00104978    0.80392954
  12    0.02959033    0.01180096    0.59208248
  13    0.00129448    0.00020518    0.00562098
  14    0.00251096    0.00039304    0.01038082
  15    0.00004515    0.00000832    0.74442222
